"","model","acc_mean","acc_median","acc_sd","ba_mean","ba_median","ba_sd","recall_mean","recall_median","recall_sd","spec_mean","spec_median","spec_sd","precision_mean","precision_median","precision_sd","f1_mean","f1_median","f1_sd","rocA_mean","rocA_median","rocA_sd","prA_mean","prA_median","prA_sd"
"1","Random Forest",0.688654618473896,0.686746987951807,0.0119777989665968,0.690228458932332,0.690676220126362,0.0128912015614866,0.69478527607362,0.697852760736196,0.026712373164853,0.685671641791045,0.684328358208955,0.0182960156728251,0.518391193167685,0.516576332429991,0.0140625055062368,0.593551523779301,0.594069392377785,0.0151963917146188,0.739491804779782,0.742296950828679,0.0180960211405791,0.572069407414023,0.579834038597542,0.028262567227098
"2","XGBoost",0.671184738955823,0.674698795180723,0.0258684370381192,0.68078701584104,0.681160150169398,0.0186894919471069,0.708588957055215,0.71319018404908,0.033006160309957,0.652985074626866,0.662686567164179,0.0456750559644757,0.499968531899299,0.50231121525189,0.0259154431306029,0.585468696939885,0.585558782707038,0.0190682848923883,0.737320758172329,0.739925373134328,0.0168449643645267,0.577548895492202,0.573966807810827,0.0229323042598016
